"Product Name","Product Price","Product Discount","Product Image","Product Link"
"Leopard Faux Fur Reversible Bucket Hat","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/leopard-faux-fur-reversible-bucket-hat.html"
"Silver Chunky Chain T Bar And Heart Pendant...","£6.00£4.50","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-chunky-chain-t-bar-and-heart-pendant-layering-necklace.html"
"Silver Assorted Signet Ring Set","£8.00£3.25","(59% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-assorted-signet-ring-set.html"
"Recycled Gold Dainty Assorted 3 Pack Mini Hoop...","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-dainty-assorted-3-pack-mini-hoop-earrings.html"
"Nude Envelope Large Cross Body Bag","£18.00£16.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/nude-envelope-large-cross-body-bag.html"
"Recycled Gold Chunky Rope Chain Twist Necklace","£8.00£5.00","(38% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-chunky-rope-chain-twist-necklace.html"
"Black Quilted Gold Chain Diamante Butterfly...","£18.00£13.00","(28% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-quilted-gold-chain-diamante-butterfly-cross-body-bag.html"
"Black Faded Lens Rimless Square Sunglasses","£8.00£5.50","(31% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-faded-lens-rimless-square-sunglasses.html"
"Recycled Silver Chunky Diamante Chain Multi...","£15.00£11.00","(27% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-silver-chunky-diamante-chain-multi-necklace.html"
"Gold Double Twist Hoop Earrings","£8.00£4.50","(44% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-double-twist-hoop-earrings.html"
"Silver Large Textured Pendant Layered Necklace","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-large-textured-pendant-layered-necklace.html"
"Gold Bamboo Multi Sizes Three Pack Hoop Earrings","£8.00£3.75","(53% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-bamboo-multi-sizes-three-pack-hoop-earrings.html"
"PRETTYLITTLETHING Green PU Croc Mini Grab Bag","£22.00£17.00","(23% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-green-pu-croc-mini-grab-bag.html"
"Black Scarf Print Bandana","£4.00£3.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-scarf-print-bandana.html"
"Recycled Gold Assorted 3 Pack Rings","£5.00£3.25","(35% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-assorted-3-pack-rings.html"
"Gold Rounded Oval Hoop Earrings","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-rounded-oval-hoop-earrings.html"
"PRETTYLITTLETHING Unicorn Pink iPhone 11 Case","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/prettylittlething-unicorn-pink-iphone-11-case.html"
"Recycled Gold Diamante Circle & Drop Pendant...","£6.00£5.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-diamante-circle-drop-pendant-necklace.html"
"Cream Extreme Ruched Handle Shoulder Bag","£18.00£16.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/cream-extreme-ruched-handle-shoulder-bag.html"
"Silver Baguette Jewel Statement Earrings","£12.00£5.25","(56% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/silver-baguette-jewel-statement-earrings.html"
"Black Matte Metal Frame Slim Visor Sunglasses","£10.00£9.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-matte-metal-frame-slim-visor-sunglasses.html"
"Black Slim Pointed Cat Eye Sunglasses","£8.00£6.50","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-slim-pointed-cat-eye-sunglasses.html"
"Green Nylon Phone Cross Body Bag","£15.00£5.25","(65% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/green-nylon-phone-cross-body-bag.html"
"Black Oversized Square Sunglasses","£8.00£7.00","","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/black-oversized-square-sunglasses.html"
"Recycled Gold Heart Key Layered Necklace","£6.00£3.25","(46% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-heart-key-layered-necklace.html"
"Gold Crystal Multi Chain Six Pack Stacking Rings","£8.00£6.00","(25% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/gold-crystal-multi-chain-six-pack-stacking-rings.html"
"Recycled Gold Snake Earrings","£5.00£4.00","(20% OFF)","https://cdn-media.prettylittlething.com/loader.svg","https://www.prettylittlething.com/recycled-gold-snake-earrings.html"
